,.SPX,.GDAXI,.FCHI,.FTSE,.OMXSPI,.N225,.KS11,.HSI
2006-10-24,0.52563235927903,0.53218995558964,0.5243831718311099,0.45771166096821,0.53032004852097,0.63516426120241,0.41619251214198,0.33823603317335
2006-10-25,0.51435250686782,0.41982611899705,0.47521073336152997,0.36037263112187,0.45059439985544997,0.5755234964610301,0.48801232322802,0.31688046190441
2006-10-26,0.47968439603158003,0.46327020152821,0.54086935350262,0.59845312701717,0.5041766542290801,0.54295246076253,0.53156851991869,0.40180927924039
2006-10-27,0.57597013220587,0.70758528925046,0.7345332265381399,0.52452278715583,0.59272517168572,0.8043426257949999,0.60444611157565,0.5876158748551199
2006-10-30,0.37421855031249,0.66750737761629,0.54671575807472,0.5959518098163901,0.75867794122722,0.64445118817556,0.52224402269446,0.0
2006-10-31,0.5092893871794,0.54530622670346,0.56845655020399,0.54734639041459,0.53930203329775,0.80351298222497,0.49037971679852,0.5339101874364199
2006-11-01,0.47338367171045,0.6047413809140001,0.60550611151241,0.45942747143859997,0.5031177391870001,0.93042724351604,0.49059085437279,0.540985131853
2006-11-02,0.43675985931548,0.76969348513666,0.76286371937968,0.78004405071293,0.8601508623789901,0.8274767444890999,0.61236571766851,0.68657646623894
2006-11-03,0.62034224242863,0.7861607966298,0.6985026405675501,0.6671795697100701,0.33696244546244997,0.0,0.42888165844954995,0.44119869734205003
2006-11-06,0.50746683054901,0.57241036152902,0.46641370899758994,0.52895054397542,0.51053380510724,0.73922375280241,0.67433665105413,0.48743840620118
2006-11-07,0.44252549013233,0.45277938129091994,0.50342905318688,0.37924724869873,0.47378413844720996,0.58012362427405,0.4612389763397,0.93430779102252
2006-11-08,0.63326037854308,0.53848006363192,0.5191270363152001,0.50777450271049,0.59626741839595,0.82073961332491,0.44397140535852,0.71339442829609
2006-11-09,0.49816416436460004,0.54207030829913,0.5240397112314901,0.4324358894911,0.66429648972518,0.83804980153233,0.68013016309706,0.5802738667180101
2006-11-10,0.39843052157988,0.57405665534696,0.47346564949297,0.45922706000035995,0.62989922713261,1.07646124145368,0.46189274009806003,0.61345099733813
2006-11-13,0.39814265722528003,0.47167455110794,0.44944045117364,0.49675961890713,0.46704604728791,0.72926941214146,0.49891567764622996,0.49194598634862
2006-11-14,0.60683304864013,0.6210939615347599,0.5367828426126999,0.61239204769164,0.5603105759294,0.74198190617031,0.37217531459589,0.69718395481659
2006-11-15,0.37803987498784003,0.45736647625056004,0.3357036366866,0.6310396562819499,0.83022959827971,0.70143922043314,0.31501033133367,0.65895729240113
2006-11-16,0.45292898577590995,0.40526736958439,0.41210463532312996,0.46361206070751,0.55671660622578,0.61398612011969,0.42590298003911997,0.78534398760186
2006-11-17,0.48639867641699996,0.51125896455758,0.5858572718991201,0.60693687267951,0.5965131280667301,0.94270261976834,0.48792969421078,0.5100947074776301
2006-11-20,0.4120997079261,0.57685841763765,0.58596814261956,0.58479870668159,0.66378443962685,1.05337512960388,0.5888287096079,0.71208519838623
2006-11-21,0.28140946635865,0.34400606813708,0.43543307014263,0.38898576177874,0.42407998869658003,0.7451238674005201,0.40624066601643,0.49954449393247
2006-11-22,0.35207455205821,0.57708747835537,0.5713221989367,0.67002047762259,0.6107595235600399,0.8047705754306,0.51638720133024,0.33421640623174
2006-11-23,0.0,0.41791330619983,0.55284700098848,0.52439691199638,0.37103673512469,0.0,0.49839633942732997,0.61706956075779
2006-11-24,0.54027318540413,1.02318907734934,0.8793250313658799,0.67184373862325,0.7161170314830401,0.89122797924229,0.53483165869509,0.44813374253577
2006-11-27,0.61521850307096,0.79882381043913,0.81755514934566,0.73929142687295,0.85841305196334,0.8366218031523299,0.55318279042034,0.75659470131699
2006-11-28,0.6330273473946401,1.21641747733868,1.1200269140243901,0.8249147427802,1.28674002313637,0.70182203646591,0.47981613779719995,0.75472418829727
2006-11-29,0.64282454607142,0.60599367308586,0.59584055745966,0.49642860594479,0.9791378582578201,0.65874964756455,0.50798896429863,0.64746331255847
2006-11-30,0.71578075356367,0.8039243471727501,0.79005106776963,0.69020779316686,0.74471064574875,0.61676858207202,0.4633932472455,0.42277319166585003
2006-12-01,0.75721986871395,1.15567784995257,1.07908881223604,0.99150768583385,1.0187154707925,0.68178189344977,0.47272199508465995,0.64172586147711
2006-12-04,0.48245798751643004,0.68093634162614,0.68151301444695,0.67436905758585,0.90534709533716,0.7304852005565999,0.40832046610312,0.65922955034641
2006-12-05,0.467400212653,0.8881308052425599,0.9540676893956801,0.65702144841168,0.8696758304201799,0.69220938310025,0.47938291963026003,0.56901441810662
2006-12-06,0.31289780949509,0.6246923077851,0.6124771324399,0.46626729480314005,0.54794727601714,0.6237405119336901,0.62965756521829,0.92063979457389
2006-12-07,0.48392934687423994,0.7291711688832301,0.66933475865738,0.52805626621043,0.55312552205135,0.6949223796035799,0.51651635420811,0.66624666067263
2006-12-08,0.45929948455958003,0.8897878343636,0.8105138961183801,0.62606674802702,0.8250453240148101,0.73450575350615,0.68669819944056,0.63036827613166
2006-12-11,0.29404768693780997,0.47340689793526997,0.48264798664555003,0.52103569905249,0.6818609035576499,0.64177644445395,0.5033502957757601,0.60346126538544
2006-12-12,0.49787017263500005,0.52424198509855,0.5247649167995799,0.40811008346571004,0.56315831347117,0.47625181325325,0.6701761463632,0.5802752786315699
2006-12-13,0.51270657073037,0.50729616673177,0.58269501268891,0.48662976865066,0.6064368793054801,0.56247482391549,0.82143708866976,0.67865711975566
2006-12-14,0.44787147118389004,0.4079287457083,0.42974714886077997,0.5908012750659499,0.55067823615476,0.43495449027172,0.8667333369949,0.53031788060557
2006-12-15,0.44447880117929,0.5916757252226,0.7523347765296,0.49235453304445004,0.6100004783253999,0.49950434266285,0.7112348740697,0.6150828514371001
2006-12-18,0.35473547607225997,0.37150765719004003,0.34580062067441997,0.37133942323161,0.4028681484549,0.37921572556423,0.54051730983073,0.55112778750023
2006-12-19,0.55034252880703,0.72244112318942,0.67085499370308,0.69192746489106,0.7323911649257999,0.55328042576598,0.51961977409794,0.91101157606054
2006-12-20,0.26845744143126005,0.39204097389814,0.33867420634149,0.56921298771465,0.76273598138692,0.67822563334385,0.64640501721349,0.42029971639801
2006-12-21,0.44239628064226,0.42292355116114005,0.39421165648072,0.41902008620469,0.40887283281307,0.54194049856144,0.55973782334655,0.46913599331968997
2006-12-22,0.46027920088155,0.7613970941432,0.52121526328706,0.29335363816103,0.41786542907312996,0.47465272548958004,0.5685426136079901,0.35697679245825004
2006-12-25,0.0,0.0,0.0,0.0,0.0,0.44074018534613,0.0,0.0
2006-12-26,0.25511318499407004,0.0,0.0,0.0,0.0,0.36837481879312,0.63709476850943,0.0
2006-12-27,0.46023261975717,0.52170444245479,0.51293658409593,0.49968666558668,0.46760680062709997,0.39206108452102,0.6152618422476399,0.5159338264008699
2006-12-28,0.33066275771548,0.36155029711255,0.40921708328716,0.35537863312384,0.41505020152776995,0.50382052316411,0.51136462554975,0.86410501213699
2006-12-29,0.47467182840623,0.32425557995494997,0.37273497193446,0.40273405623263997,0.31926142848876,0.26663177919808,0.0,0.76973780273614
2007-01-02,0.0,0.54113971883407,0.41903996898504997,0.62186799554281,0.44593533035301,0.0,0.5579666783319299,0.6574024460430901
2007-01-03,0.6712733998939701,0.47428939944252,0.5114846402031901,0.40421722210546,0.4878004661961,0.0,0.8165921363897201,1.11226836192575
2007-01-04,0.65037528746136,0.62651953246623,0.5996636055840501,0.82107439023187,0.80265809218828,0.32819754520055,0.96360742829174,1.1516431495815
2007-01-05,0.62935285314436,0.7630449258009999,0.67866169571638,0.68683116647417,0.53689220637282,0.9946095535377499,0.93924392363999,1.31196273493457
2007-01-08,0.58046086199667,0.7348133432170301,0.66234219906695,0.62531869295628,0.59516714826861,0.0,0.85905116044426,0.78735013439627
2007-01-09,0.5580445860641701,0.63682415705081,0.50441690107781,0.51368824974897,0.57956197291709,0.75497133951021,0.70604749155939,1.03585304168593
2007-01-10,0.5338351984659201,0.7673370402970501,0.61551601104869,0.7373786987574,0.6909575853234,0.82927529215328,0.92232524531591,0.77413197650783
2007-01-11,0.38954770751495,0.67717990244806,0.7216071685072301,0.8784149873424,0.77104662257811,0.9580585118397201,0.98094567460024,1.02281754084
2007-01-12,0.36037063821298,0.7381397158301299,0.57076856548654,0.55551460056466,0.52051822242187,0.93136940765782,0.59848234028013,0.77303121475512
2007-01-15,0.0,0.37122173638280004,0.32211568208868,0.5450972277834399,0.5655733010662001,0.5666647483874301,0.69772348967658,0.67012343310708
2007-01-16,0.37626710289984,0.6617471415312399,0.57473248249415,0.5170286510105999,0.54836626773932,0.5578137452935,0.5334539795524901,0.8764598157457599
2007-01-17,0.47292512290253996,0.6086772554033201,0.63594131166323,0.71770425780758,0.6785153424129,0.9323024539953799,1.05453196326664,0.8739936642004601
2007-01-18,0.499481842645,0.6444561527114501,0.7443181071813301,0.71400838343644,0.63173795036458,0.8854315770426601,0.68435578991873,0.74093104116779
2007-01-19,0.33769320029293,0.73762274225793,0.6434363031681201,0.540815445122,0.55982693467177,0.6666848965018,0.72471352264756,0.68896374093271
2007-01-22,0.42786371089432995,0.64879612253189,0.603813943206,0.65727129640755,0.62373861712979,0.46800568036513,0.71620228731086,0.50307122733304
2007-01-23,0.43670507926303,0.77674740442818,0.72944304775965,0.57475008347382,0.63822859481615,0.6297688135177,0.62951129721785,0.81156810043389
2007-01-24,0.41257022279795996,0.56396653471142,0.54492553361575,0.71896740684342,0.60835834075438,0.38561155614854004,0.5159088615957099,0.8552050373351701
2007-01-25,0.46475061354733,0.65369042216599,0.61989427519964,0.60455671875075,0.77179675464332,0.58013800095232,0.48979894003301,0.94086951382208
2007-01-26,0.57395580202097,0.8860041029055801,0.88227151294427,0.81537438957946,0.58967863651023,0.72973635925826,0.8089960747447901,0.8664971364886
2007-01-29,0.45414878809160003,0.56984501122019,0.5356771577912001,0.48800217095006,0.47043849722500997,0.60194831888863,0.57051277157746,0.61226678079245
2007-01-30,0.47074534090115006,0.6186768833470601,0.5895652485856699,0.5289767463799699,0.59343574391166,0.5353560447103399,0.6571915711619,0.65807364596958
2007-01-31,0.64250641882185,0.50684691487873,0.60107668162831,0.53383116346813,0.49529479403169996,0.7887299214738,0.64060741102994,1.2780515176725
2007-02-01,0.47181735369664,0.49186422748899,0.5363011143511,0.9779820311505699,0.74425902056419,0.55761287569803,0.66385953284523,0.85954911625478
2007-02-02,0.35818637501803996,0.47201855813599003,0.48671952034293997,0.53940858544686,0.7618159135901099,0.56399634215703,0.76660786509352,0.8399473545797099
2007-02-05,0.30567814586018,0.33958206678250996,0.34036036636459,0.4020760461545,0.40907355236023,0.78817608383447,0.7161215394517301,0.7212217507718299
2007-02-06,0.32730770554442,0.34836866160709,0.44088999530629003,0.44825237892154,0.57191035116745,0.5804027707731,0.61167762423461,0.74195016121652
2007-02-07,0.32884965863833,0.41399876447979,0.35619488315553,0.35188549413382003,0.5507244109510699,0.70023890318936,0.83649816437601,0.60544196631127
2007-02-08,0.52494546150775,0.57350874776657,0.52280191687082,0.49121108669118996,0.5660079812212799,0.66153695942388,0.73165407286708,0.93225848359024
2007-02-09,0.52369963563923,0.50856357242979,0.34634258029381,0.66133331920365,0.58697169082766,0.69155949046805,0.6161973508245799,0.7147186626178099
2007-02-12,0.3460125148996,0.47956998394670997,0.43667318995161997,0.50483450230953,0.7007409801246199,0.0,0.76546862408213,0.58562339292655
2007-02-13,0.45874110669945,0.3884243968,0.43858042204479,0.34099269883465,0.46174932906413,0.7795383843593999,0.69491355194996,0.8738143832916099
2007-02-14,0.49845626011043,0.38286673748794997,0.44964256061937,0.42989866979844,0.6907168237455199,0.51545794247251,0.60643625833394,0.57621020773897
2007-02-15,0.3057618965535,0.37437669711681,0.42162883060177003,0.37874316832202,0.43974551925493,0.62888091706118,0.44973956681921,0.63063326717193
2007-02-16,0.30894994242034,0.36589233810752003,0.40402028883141994,0.36050758195606003,0.46694094487073995,0.55858613466176,0.6129771712144,0.43509719139975006
2007-02-19,0.0,0.29715382906102,0.37285627545440997,0.41258163940722004,0.39056446334294,0.49194627014798,0.0,0.0
2007-02-20,0.40255000601709,0.44437762686537996,0.50746311772792,0.41084785198997004,0.51597214491678,0.53847426152165,0.48323970767213,0.0
2007-02-21,0.54478397691488,0.68041237507569,0.6044382185179801,0.5010301424831599,0.64611827440048,0.7021242993275499,0.64584838880519,0.62854322221492
2007-02-22,0.52670137706275,0.67073490460694,0.53636599155538,0.5913192522374799,0.64440943077867,0.42337671492153,0.52998861634117,0.41789195293426995
2007-02-23,0.41973001591078,0.51569668801596,0.47082696630457,0.47279348881577,0.56249965931701,0.6571070182075001,0.61788678106645,0.74078363053223
2007-02-26,0.49435038056132,0.46705887743365,0.46867439838112,0.5586482811608,0.58219582416937,0.60070067946488,0.5268373020445101,0.50633430384029
2007-02-27,1.6742879653837899,0.82802467165607,1.0035679795106,1.09542497169728,1.52830805888832,0.72450463324147,0.69153202940555,0.9682345535880601
